"cycle","model","what","term","estimate","ci_lower","ci_upper","p_value","n_used"
"2013-2014","M1: count alone","Medication count","n_drugs",-1.21689106130493,-1.50754958043191,-0.926232542177941,2.18694060895714e-07,1592
"2013-2014","M2: ACB alone","ACB burden","acb_burden",-2.43511363345942,-3.09001015169527,-1.78021711522357,9.66210685222221e-07,1592
"2013-2014","M3: ACB + count","ACB burden","acb_burden",-1.13986331510996,-1.83691622444619,-0.442810405773737,0.00332105004881844,1592
"2013-2014","M3: ACB + count","Medication count","n_drugs",-0.961876795820742,-1.27400410629862,-0.649749485342862,8.90858851570278e-06,1592
"2013-2014","M4: fully adjusted","ACB burden","acb_burden",-1.36536807066139,-1.92495914489914,-0.80577699642363,0.000107628594182192,1468
"2013-2014","M4: fully adjusted","Medication count","n_drugs",-0.547132357827718,-0.808175997901094,-0.286088717754341,0.000451742207325185,1468
"2013-2014","M4+: + comorbidities","ACB burden","acb_burden",-1.33696058547789,-1.86857227879708,-0.805348892158699,7.94086995167762e-05,1431
"2013-2014","M4+: + comorbidities","Medication count","n_drugs",-0.329226137233498,-0.652505251778208,-0.00594702268878783,0.0464184576886421,1431
"2011-2012","M1: count alone","Medication count","n_drugs",-1.36053160671751,-1.8426272615883,-0.87843595184672,1.56976395760434e-05,1422
"2011-2012","M2: ACB alone","ACB burden","acb_burden",-2.58672435304504,-3.59826537138787,-1.57518333470221,4.83437267745502e-05,1422
"2011-2012","M3: ACB + count","ACB burden","acb_burden",-1.10563654624073,-2.2482805659236,0.0370074734421377,0.0570387303629834,1422
"2011-2012","M3: ACB + count","Medication count","n_drugs",-1.0642760961305,-1.59446949158248,-0.53408270067852,0.000557742718393661,1422
"2011-2012","M4: fully adjusted","ACB burden","acb_burden",-0.826567957230873,-2.01017217782715,0.357036263365402,0.158922092252349,1288
"2011-2012","M4: fully adjusted","Medication count","n_drugs",-0.514877435608713,-0.906590980859277,-0.123163890358149,0.0130188532784262,1288
"2011-2012","M4+: + comorbidities","ACB burden","acb_burden",-0.86382930457445,-1.99702130226256,0.269362693113659,0.126180162980245,1268
"2011-2012","M4+: + comorbidities","Medication count","n_drugs",-0.135818678723615,-0.640120823646588,0.368483466199359,0.577317664017841,1268
